city,province,date,year,month,fuel_price,units
Québec,Quebec,2016-05-01,2016,5,103.9,Cents per litre
Montréal,Quebec,2016-05-01,2016,5,111.6,Cents per litre
Ottawa-Gatineau,Ontario,2016-05-01,2016,5,104.5,Cents per litre
Toronto,Ontario,2016-05-01,2016,5,106.1,Cents per litre
Thunder Bay,Ontario,2016-05-01,2016,5,108.8,Cents per litre
Winnipeg,Manitoba,2016-05-01,2016,5,94.8,Cents per litre
Regina,Saskatchewan,2016-05-01,2016,5,94.6,Cents per litre
Saskatoon,Saskatchewan,2016-05-01,2016,5,95.3,Cents per litre
Edmonton,Alberta,2016-05-01,2016,5,90,Cents per litre
Calgary,Alberta,2016-05-01,2016,5,95.7,Cents per litre
Vancouver,British Columbia,2016-05-01,2016,5,120,Cents per litre
Victoria,British Columbia,2016-05-01,2016,5,112.8,Cents per litre
Whitehorse,Yukon,2016-05-01,2016,5,107.2,Cents per litre
Yellowknife,Northwest Territories,2016-05-01,2016,5,113.4,Cents per litre
St. John's,Newfoundland and Labrador,2016-06-01,2016,6,126.2,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2016-06-01,2016,6,104.7,Cents per litre
Halifax,Nova Scotia,2016-06-01,2016,6,106,Cents per litre
Saint John,New Brunswick,2016-06-01,2016,6,104.9,Cents per litre
Québec,Quebec,2016-06-01,2016,6,107,Cents per litre
Montréal,Quebec,2016-06-01,2016,6,110.8,Cents per litre
Ottawa-Gatineau,Ontario,2016-06-01,2016,6,104.9,Cents per litre
Toronto,Ontario,2016-06-01,2016,6,106.1,Cents per litre
Thunder Bay,Ontario,2016-06-01,2016,6,123.5,Cents per litre
Winnipeg,Manitoba,2016-06-01,2016,6,112.7,Cents per litre
Regina,Saskatchewan,2016-06-01,2016,6,109.7,Cents per litre
Saskatoon,Saskatchewan,2016-06-01,2016,6,107.8,Cents per litre
Edmonton,Alberta,2016-06-01,2016,6,102.4,Cents per litre
Calgary,Alberta,2016-06-01,2016,6,105.6,Cents per litre
Vancouver,British Columbia,2016-06-01,2016,6,121.6,Cents per litre
Victoria,British Columbia,2016-06-01,2016,6,114.9,Cents per litre
Whitehorse,Yukon,2016-06-01,2016,6,121.6,Cents per litre
Yellowknife,Northwest Territories,2016-06-01,2016,6,122.9,Cents per litre
St. John's,Newfoundland and Labrador,2016-07-01,2016,7,121.7,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2016-07-01,2016,7,98.4,Cents per litre
Halifax,Nova Scotia,2016-07-01,2016,7,97,Cents per litre
Saint John,New Brunswick,2016-07-01,2016,7,98.7,Cents per litre
Québec,Quebec,2016-07-01,2016,7,99.9,Cents per litre
Montréal,Quebec,2016-07-01,2016,7,106.2,Cents per litre
Ottawa-Gatineau,Ontario,2016-07-01,2016,7,100.9,Cents per litre
Toronto,Ontario,2016-07-01,2016,7,102.4,Cents per litre
Thunder Bay,Ontario,2016-07-01,2016,7,118.6,Cents per litre
Winnipeg,Manitoba,2016-07-01,2016,7,95.5,Cents per litre
Regina,Saskatchewan,2016-07-01,2016,7,94.4,Cents per litre
Saskatoon,Saskatchewan,2016-07-01,2016,7,91.8,Cents per litre
Edmonton,Alberta,2016-07-01,2016,7,86.1,Cents per litre
Calgary,Alberta,2016-07-01,2016,7,92.8,Cents per litre
Vancouver,British Columbia,2016-07-01,2016,7,124.1,Cents per litre
Victoria,British Columbia,2016-07-01,2016,7,113.9,Cents per litre
Whitehorse,Yukon,2016-07-01,2016,7,117.3,Cents per litre
Yellowknife,Northwest Territories,2016-07-01,2016,7,119.4,Cents per litre
St. John's,Newfoundland and Labrador,2016-08-01,2016,8,122.8,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2016-08-01,2016,8,96.4,Cents per litre
Halifax,Nova Scotia,2016-08-01,2016,8,95.9,Cents per litre
Saint John,New Brunswick,2016-08-01,2016,8,97.2,Cents per litre
Québec,Quebec,2016-08-01,2016,8,101.2,Cents per litre
Montréal,Quebec,2016-08-01,2016,8,108.2,Cents per litre
Ottawa-Gatineau,Ontario,2016-08-01,2016,8,99.3,Cents per litre
Toronto,Ontario,2016-08-01,2016,8,101.1,Cents per litre
Thunder Bay,Ontario,2016-08-01,2016,8,115,Cents per litre
Winnipeg,Manitoba,2016-08-01,2016,8,95,Cents per litre
Regina,Saskatchewan,2016-08-01,2016,8,96.8,Cents per litre
Saskatoon,Saskatchewan,2016-08-01,2016,8,96.8,Cents per litre
Edmonton,Alberta,2016-08-01,2016,8,89.4,Cents per litre
Calgary,Alberta,2016-08-01,2016,8,96.3,Cents per litre
Vancouver,British Columbia,2016-08-01,2016,8,119.7,Cents per litre
Victoria,British Columbia,2016-08-01,2016,8,112.6,Cents per litre
Whitehorse,Yukon,2016-08-01,2016,8,115.9,Cents per litre
Yellowknife,Northwest Territories,2016-08-01,2016,8,118.2,Cents per litre
St. John's,Newfoundland and Labrador,2016-09-01,2016,9,127.4,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2016-09-01,2016,9,100.4,Cents per litre
Halifax,Nova Scotia,2016-09-01,2016,9,102.1,Cents per litre
Saint John,New Brunswick,2016-09-01,2016,9,102.3,Cents per litre
Québec,Quebec,2016-09-01,2016,9,103.5,Cents per litre
Montréal,Quebec,2016-09-01,2016,9,111,Cents per litre
Ottawa-Gatineau,Ontario,2016-09-01,2016,9,98.8,Cents per litre
Toronto,Ontario,2016-09-01,2016,9,100.9,Cents per litre
Thunder Bay,Ontario,2016-09-01,2016,9,110.4,Cents per litre
Winnipeg,Manitoba,2016-09-01,2016,9,94.8,Cents per litre
Regina,Saskatchewan,2016-09-01,2016,9,95,Cents per litre
